Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFP157 - BF IVRY SUR SEINE THOREZ;3240M1;1;;;;;;;1;;;;;;
BFP109 - BF NOISIEL;1275M1;2;;;;;;;2;;;;;;
BFP117 - BF IVRY SUR SEINE VOLTAIRE;1177M1;3;;;;;;;3;;;;;;
BFP89 - BF VITRY SUR SEINE STALINGRAD;1231M1;4;;;;;;;4;;;;;;
BFP20 - BF VITRY SUR SEINE JULES GUESDE;1118M1;5;;;;;;;5;;;;;;
FTPA43 - FP PARIS - CHOISY;1211M1;6;;;;;;;6;;;;;;
BFP72 - BF CHAMPIGNY SUR MARNE;1247M1;7;;;;;;;7;;;;;;
BFP100 - BF NOISY LE GRAND;1267M1;8;;;;;;;8;;;;;;
FTPA58 - FP CHAMPIGNY;3205M1;9;;;;;;;9;;;;;;
AFPA01F - APPART FITNESS LE PLESSIS BOUCHARD;3241M1;;;;1;;;;;;;1;;;
BFP88 - BF BAGNEUX;1230M1;;;;;6;;;;;;;6;;
BFP154 - BF CHATENAY MALABRY COMMERCE;3235M1;;;;;3;;;;;;;3;;
BFP90 - BF CHATENAY MALABRY LECLERC;1232M1;;;;;2;;;;;;;2;;
BFP22 - BF CHAUSSEE D'ANTIN;1120M1;;;6;;;;;;;6;;;;
BFP33 - BF CHOISY LE ROI;1131M1;;8;;;;;;;8;;;;;
BFP96 - BF CRETEIL;1258M1;;3;;;;;;;3;;;;;
BFP13 - BF ERMONT;1261M1;;;;7;;;;;;;7;;;
BFP48 - BF FRESNES RUE DES MOISSONS;1190M1;;;;;5;;;;;;;5;;
BFP111 - BF GENEVILLIERS;1277M1;;;;4;;;;;;;4;;;
BFP153 - BF ISSY LES MOULINEAUX;3227M1;;;;;1;;;;;;;1;;
BFP73 - BF NANTERRE BD. DES PROVINCES FRANCAISES;1240M1;;;;10;;;;;;;10;;;
BFP07 - BF NANTERRE DIDEROT;1107M1;;;;9;;;;;;;9;;;
BFP101 - BF NANTERRE PICASSO;1268M1;;;;8;;;;;;;8;;;
BFP08 - BF NETTER;1108M1;;2;;;;;;;2;;;;;
BFP69 - BF NOISY LE SEC;1248M1;;;3;;;;;;;3;;;;
BFP130 - BF PARIS CHAMPS ELYSEES;1150M1;;;4;;;;;;;4;;;;
BFP129 - BF PARIS COLOMBIER;1293M1;;;;;7;;;;;;;7;;
BFP105 - BF PARIS TOLBIAC;1271M1;;4;;;;;;;4;;;;;
BFP58 - BF PIERRELAYE BOULEVARD DU HAVRE;1200M1;;;;3;;;;;;;3;;;
BFP113 - BF PONTOISE;1279M1;;;;6;;;;;;;6;;;
BFP147 - BF ROSNY SOUS BOIS CC DOMUS;3211M1;;;2;;;;;;;2;;;;
BFP152 - BF ROSNY SOUS BOIS LEON BLUM;3222M1;;;1;;;;;;;1;;;;
BFP65 - BF VILLENEUVE-SAINT-GEORGES RUE BOILEAU;1207M1;;7;;;;;;;7;;;;;
BFP34 - BF VINCENNES;1132M1;;;7;;;;;;;7;;;;
FTPA08 - FP ALESIA;1146M1;;;;;8;;;;;;;8;;
FTPA11 - FP CRETEIL;1148M1;;6;;;;;;;6;;;;;
FTPA16 - FP HERBLAY;1152M1;;;;5;;;;;;;5;;;
FTPA39 - FP ISSY LES MOULINEAUX;1175M1;;;;;4;;;;;;;4;;
FTPA22 - FP ORLY;1159M1;;1;;;;;;;1;;;;;
FTPA42 - FP PARIS - CHEVALERET;1210M1;;5;;;;;;;5;;;;;
FTPA54 - FP PARIS BASTILLE;1283M1;;;5;;;;;;;5;;;;
FTPA03 - FP PARIS DIDEROT;1142M1;;10;;;;;;;10;;;;;
FTPA03 - FP PARIS DIDEROT;3232M1;;9;;;;;;;9;;;;;
FTPA02 - FP THEATRE;1141M1;;;;;9;;;;;;;9;;
FTPA64 - FP VANVES;3224M1;;;;;10;;;;;;;10;;
FTPA64 - FP VANVES;3234M1;;;;;11;;;;;;;11;;
FTPA30 - FP VILLENEUVE LA GARENNE;1167M1;;;;2;;;;;;;2;;;
