Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
BFNORD34 - BF VILLENEUVE D'ASCQ AVENIR;3134M1;1;;;;;;;1;;;;;;
BFNORD35 - BF VILLENEUVE D'ASCQ GUESDE;3135M1;2;;;;;;;2;;;;;;
BFNORD36 - BF VILLENEUVE D'ASCQ VALMY;3136M1;3;;;;;;;3;;;;;;
BFNORD06 - BF HALLUIN;3106M1;4;;;;;;;4;;;;;;
BFNORD20 - BF RONCHIN;3120M1;5;;;;;;;5;;;;;;
BFNORD21 - BF RONCQ;3121M1;6;;;;;;;6;;;;;;
BFNORD01 - BF ARMENTIERES DE GAULLE;3101M1;;;;3;;;;;;;3;;;
BFNORD42 - BF BREBIERES;3142M1;;;;;3;;;;;;;3;;
BFNORD02 - BF CAMBRAI LANDRECIES;3102M1;;;3;;;;;;;3;;;;
BFNORD03 - BF CAMBRAI PARIS;3103M1;;;4;;;;;;;4;;;;
BFNORD50 - BF CAUDRY;3150M1;;;5;;;;;;;5;;;;
BFNORD04 - BF DENAIN;3104M1;;2;;;;;;;2;;;;;
BFNORD41 - BF FLERS-EN-ESCREBIEUX;3141M1;;;;;7;;;;;;;7;;
BFNORD45 - BF HAZEBROUCK;3145M1;;;;4;;;;;;;4;;;
BFNORD07 - BF LA SENTINELLE;3107M1;;3;;;;;;;3;;;;;
BFNORD46 - BF LE CATEAU-CAMBRESIS;3146M1;;;2;;;;;;;2;;;;
BFNORD18 - BF LYS LEZ LANNOY;3118M1;;;;5;;;;;;;5;;;
BFNORD19 - BF MARQUETTE LEZ LILLE;3119M1;;;1;;;;;;;1;;;;
BFNORD49 - BF MASNY;3149M1;;;;;4;;;;;;;4;;
BFNORD48 - BF NIEPPE;3148M1;;;;6;;;;;;;6;;;
BFNORD57 - BF RACHES;3158M1;;1;;;;;;;1;;;;;
BFNORD26 - BF SAINT ANDRE LEZ LILLE TASSIGNY;3126M1;;;;2;;;;;;;2;;;
BFNORD28 - BF SIN LE NOBLE;3128M1;;;;;5;;;;;;;5;;
BFNORD29 - BF SOMAIN;3129M1;;;;;6;;;;;;;6;;
BFNORD33 - BF VALENCIENNES MACAREZ;3133M1;;5;;;;;;;5;;;;;
BFNORD32 - BF VALENCIENNES VILLARS;3132M1;;4;;;;;;;4;;;;;
BFNORD54 - BF WASQUEHAL GRAND COTTIGNIES;3154M1;;;;1;;;;;;;1;;;
BFNORD55 - BF WASQUEHAL PRECURSEURS;3155M1;;;;;2;;;;;;;2;;
FPNORD01F - FP FLERS EN ESCREBIEUX;3156M1;;;;;1;;;;;;;1;;
