Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
AFPA02F - APPART FITNESS HOUILLES;3242M1;1;;;;;;;1;;;;;;
BFP05 - BF LEVALLOIS PERRET;1105M1;2;;;;;;;2;;;;;;
BFP79 - BF ORGEVAL;1245M1;3;;;;;;;3;;;;;;
BFP06 - BF COURBEVOIE BEZONS;1106M1;4;;;;;;;4;;;;;;
BFP47 - BF COLOMBES RUE DU MARÉCHAL JOFFRE ;1189M1;5;;;;;;;5;;;;;;
BFP03 - BF ARGENTEUIL;1103M1;6;;;;;;;7;;;;;;
BFP25 - BF BEZONS;1123M1;7;;;;;;;8;;;;;;
FTPA41 - FP COURBEVOIE - LA DÉFENSE;1209M1;8;;;;;;;10;;;;;;
BFP132 - BF ARGENTEUIL SEINE;1296M1;9;;;;;;;9;;;;;;
BFP125 - BF COURBEVOIE LA DEFENSE;1286M1;10;;;;;;;6;;;;;;
BFP04 - BF BD BESSIERES;1104M1;;;;;8;;;;;;;8;;
BFP28 - BF BLANC MESNIL;1126M1;;;;9;;;;;;;9;;;
BFP91 - BF BONDY;1233M1;;;;8;;;;;;;8;;;
BFP23 - BF BRETIGNY SUR ORGE;1121M1;;1;;;7;;;;1;;;7;;
BFP22 - BF CHAUSSEE D'ANTIN;1120M1;;;;;5;;;;;;;5;;
BFP87 - BF GRIGNY;1229M1;;8;;;;;;;8;;;;;
BFP77 - BF LES PAVILLON-SOUS-BOIS LADIES,;1239M1;;;;7;;;;;;;7;;;
BFP115 - BF LES PAVILLON-SOUS-BOIS MIXTE;1151M1;;;;6;;;;;;;6;;;
BFP51 - BF LIVRY-GARGAN ZAC CORA;1193M1;;;;5;;;;;;;5;;;
BFP52 - BF MELUN AVENUE THIERS ;1194M1;;;7;;;;;;;7;;;;
BFP94 - BF NEMOURS;1255M1;;;2;;;;;;;2;;;;
BFP54 - BF PARIS BOULEVARD DE VAUGIRARD;1196M1;;;;;3;;;;;;;3;;
BFP103 - BF PARIS PORTE DE CHATILLON LADIES;1264M1;;4;;;6;;;;4;;;6;;
BFP102 - BF PARIS PORTE DE CHATILLON MIXTE;1263M1;;3;;;4;;;;3;;;4;;
BFP86 - BF PRINGY;1228M1;;;3;;;;;;;3;;;;
BFP151 - BF PROVINS;3221M1;;;1;;;;;;;1;;;;
BFP38 - BF ROISSY EN FRANCE;1136M1;;;;4;;;;;;;4;;;
BFP61 - BF SAINTE GENEVIÉVE DES BOIS AVE DE LA CROIX BLANCHE;1203M1;;;;;1;;;;;;;1;;
BFP93 - BF SARCELLES DIVISION LECLERC;1241M1;;;;3;;;;;;;3;;;
BFP145 - BF SEVRAN;3209M1;;;;1;;;;;;;1;;;
BFP118 - BF VARENNES SUR SEINE;1178M1;;;6;;;;;;;6;;;;
BFP74 - BF VERT SAINT DENIS;1250M1;;;5;;;;;;;5;;;;
BFP99 - BF VILLE DU BOIS;1266M1;;2;;;;;;;2;;;;;
BFP39 - BF VILLIERS LE BEL;1137M1;;;;2;;;;;;;2;;;
BFP19 - BF VIRY CHATILLON DE GAULLE;1117M1;;7;;;;;;;7;;;;;
BFP126 - BF VIRY CHATILLON KENNEDY;1290M1;;6;;;;;;;6;;;;;
FTPA36 - FP BRETIGNY SUR ORGE;1172M1;;;;;2;;;;;;;2;;
FTPA01F - FP VARENNES SUR SEINE;1287M1;;;4;;;;;;;4;;;;
WUF01F - WUF DRAVEIL;1256M1;;5;;;;;;;5;;;;;
