Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
CT01F - CT VERRIERES LE BUISSON;1269M1;1;;;;;;;1;;;;;;
FTPA04 - FP BELLE EPINE;1143M1;2;;;;;;;2;;;;;;
BFP42 - BF MONTLHERY;1140M1;3;;;;;;;3;;;;;;
BFP123 - BF CHILLY MAZARIN;1284M1;4;;;;;;;4;;;;;;
BFP50 - BF LES ULIS AVENUE DE L'OCÉANIE ;1192M1;5;;;;;;;5;;;;;;
BFP127 - BF LIMEIL BREVANNES;1291M1;6;;;;;;;6;;;;;;
FTPA19 - FP BONNEUIL SUR MARNE;1155M1;7;;;;;;;7;;;;;;
FTPA52F - FP MASSY;1281M1;8;;;;;;;8;;;;;;
BFP119 - BF ASNIERES SUR SEINE;1219M1;;;;7;;;;;;;7;;;
BFP01 - BF AUBERVILLIERS;1101M1;;;5;;;;;;;5;;;;
BFP02 - BF BD MAC DONALD;1102M1;;;4;;;;;;;4;;;;
BFP70 - BF BUCHELAY RUE DES PIQUETTES;1243M1;;;;;2;;;;;;;2;;
BFP45 - BF CHAVILLE AVENUE ROGER SALENGRO ;1187M1;;7;;;;;;;7;;;;;
BFP107 - BF CLICHY LA GARENNE PORT GENEVILLIERS LADIES;1273M1;;;;2;;;;;;;2;;;
BFP106 - BF CLICHY LA GARENNE PORT GENEVILLIERS MIXTE;1272M1;;;;1;;;;;;;1;;;
BFP150 - BF GARCHES;3214M1;;9;;;;;;;9;;;;;
BFP17 - BF GARGES LES GONESSES;1115M1;;;;3;;;;;;;3;;;
BFP143 - BF GROSLAY;3204M1;;;;9;;;;;;;9;;;
BFP11 - BF LA CELLE SAINT CLOUD;1110M1;;10;;;;;;;10;;;;;
BFP71 - BF LES CLAYES SOUS BOIS;1244M1;;;;;8;;;;;;;8;;
BFP134 - BF LES MUREAUX;1298M1;;;;;3;;;;;;;3;;
BFP05 - BF LEVALLOIS PERRET;1105M1;;;;4;;;;;;;4;;;
BFP92 - BF MANTES-LA-JOLIE - LAVOIR;1234M1;;;;;7;;;;;;;7;;
BFP79 - BF ORGEVAL;1245M1;;;;;6;;;;;;;6;;
BFP56 - BF PARIS RUE CURIAL;1198M1;;;3;;;;;;;3;;;;
BFP149 - BF PARIS RUE DE L'ATLAS;3213M1;;;1;;;;;;;1;;;;
BFP141 - BF RUEIL MALMAISON RENAUD;3202M1;;8;;;;;;;8;;;;;
BFP36 - BF SAINT DENIS MITTERAND;1134M1;;;2;;;;;;;2;;;;
BFP10 - BF SAINT DENIS RUE STRASBOURG;1259M1;;;6;;;;;;;6;;;;
BFP62 - BF SARCELLES LES FLANADES;1204M1;;;;6;;;;;;;6;;;
BFP104 - BF STAINS;1270M1;;;;5;;;;;;;5;;;
BFP64 - BF VÉLIZY-VILLACOUBLAY AVENUE MORANE SAULNIER;1206M1;;6;;;;;;;6;;;;;
BFP131 - BF VERSAILLES;1179M1;;3;;;;;;;3;;;;;
BFP148 - BF VERSAILLES RAYMOND POINCARE;3212M1;;2;;;;;;;2;;;;;
BFP136 - BF VILLETANEUSE;1297M1;;;;8;;;;;;;8;;;
FTPA23 - FP CHAMBOURCY;1160M1;;;;;4;;;;;;;4;;
FTPA66F - FP LE CHESNAY;3239M1;;1;;;;;;;1;;;;;
FTPA50F - FP LES CLAYES SOUS BOIS;1221M1;;;;;5;;;;;;;5;;
FTPA63F - FP SAINT CYR L'ECOLE;3223M1;;;;;1;;;;;;;1;;
FTPA45 - FP SAINT-DENIS - CARNOT;1213M1;;;7;;;;;;;7;;;;
FTPA31 - FP VELIZY VILLACOUBLAY;1168M1;;5;;;;;;;5;;;;;
FTPA31 - FP VELIZY VILLACOUBLAY;3231M1;;4;;;;;;;4;;;;;
