Client;Machine;S13 - L 23;Ma 24;Me 25;J 26;V 27;S 28;D 29;S14 - L 30;Ma 31;Me 1;J 2;V 3;S 4;D 5
FTPA61 - FP BRIE COMTE ROBERT;3218M1;1;;;;;;;1;;;;;;
BFP155 - BF SERRIS;3236M1;2;;;;;;;2;;;;;;
BFP63 - BF COLLÉGIEN RUE DU GÉNÉRAL DE GAULLE ;1205M1;3;;;;;;;3;;;;;;
BFP82 - BF COLLÉGIEN RUE MOULIN;1224M1;4;;;;;;;4;;;;;;
BFP49 - BF LAGNY SUR MARNE RUE JACQUARD;1191M1;5;;;;;;;5;;;;;;
BFP59 - BF PONTAULT-COMBAULT ROUTE NATIONALE 4;1201M1;6;;;;;;;6;;;;;;
BFP76 - BF TOURNAN EN BRIE;1254M1;7;;;;;;;7;;;;;;
FTPA32 - FP LAGNY;1169M1;8;;;;;;;8;;;;;;
FTPA20 - FP MONTEVRAIN;1156M1;9;;;;;;;9;;;;;;
AFPA03F - APPART FITNESS EPINAY;3243M1;;;;1;;;;;;;1;;;
BFP40 - BF CLICHY LA GARENNE;1138M1;;1;;;;;;;1;;;;;
BFP46 - BF COIGNIÈRES RUE DES FRÈRES LUMIÈRES;1188M1;;;;;8;;;;;;;8;;
BFP29 - BF DRANCY;1127M1;;5;;;;;;;5;;;;;
BFP84 - BF ENGHIEN LES BAINS;1226M1;;;;7;;;;;;;7;;;
BFP116 - BF EPINAY SUR SEINE ALLENDE;1176M1;;;;6;;;;;;;6;;;
BFP37 - BF EPINAY SUR SEINE JOFFRE;1135M1;;;;5;;;;;;;5;;;
BFP98 - BF GUYANCOURT;1262M1;;;;;7;;;;;;;7;;
BFP53 - BF MONTIGNY-LE-BRETONNEUX;1195M1;;;;;6;;;;;;;6;;
BFP55 - BF PARIS AVENUE EMILE ZOLA ;1197M1;;;3;;;;;;;3;;;;
BFP66 - BF PARIS AVENUE JEAN JAURÈS;1265M1;;;;2;;;;;;;2;;;
BFP68 - BF PARIS BOULEVARD DE MONTPARNASSE;1253M1;;;4;;;;;;;4;;;;
BFP129 - BF PARIS COLOMBIER;1293M1;;;1;;;;;;;1;;;;
BFP108 - BF PARIS DUPLEIX;1274M1;;;5;;;;;;;5;;;;
BFP140 - BF PARIS JAVEL;3201M1;;;6;;;;;;;6;;;;
BFP41 - BF QUAI DE LA LOIRE;1139M1;;;;3;;;;;;;3;;;
BFP14 - BF SAINT OUEN;1112M1;;8;;;;;;;8;;;;;
BFP144 - BF SARTROUVILLE CLEMENCEAU;3208M1;;;;4;;;;;;;4;;;
BFP16 - BF SARTROUVILLE SUREAUX;1114M1;;;;8;;;;;;;8;;;
DEPOTMONTRE - DEPOT MONTREUIL;3215M1;;;;;;;;;;;;;;
DEPOTMONTRE - DEPOT MONTREUIL;3216M1;;;;;;;;;;;;;;
FTPA18 - FP BOBIGNY;1154M1;;3;;;;;;;3;;;;;
FTPA59 - FP BOBIGNY COEUR DE VILLE;3206M1;;2;;;;;;;2;;;;;
FTPA05 - FP EPINAY;1144M1;;;;9;;;;;;;9;;;
FTPA29 - FP MAUREPAS;1166M1;;;;;5;;;;;;;5;;
FTPA28 - FP MONTIGNY LE BRETONNEUX;1165M1;;;;;4;;;;;;;4;;
FTPA46 - FP PARIS - BATIGNOLLES;1214M1;;9;;;;;;;10;;;;;
FTPA46 - FP PARIS - BATIGNOLLES;3228M1;;6;;;;;;;6;;;;;
FTPA17 - FP SAINT OUEN GARE;1153M1;;10;;;;;;;9;;;;;
FTPA17 - FP SAINT OUEN GARE;3229M1;;4;;;;;;;4;;;;;
FTPA60 - FP SAINT OUEN LES DOCKS;3207M1;;7;;;;;;;7;;;;;
FTPA31 - FP VELIZY VILLACOUBLAY;1168M1;;;;;2;;;;;;;2;;
FTPA31 - FP VELIZY VILLACOUBLAY;3231M1;;;;;1;;;;;;;1;;
GFP01F - GYM FLASH;3200M1;;;2;;;;;;;2;;;;
WUF16F - WUF RAMBOUILLET;1288M1;;;;;3;;;;;;;3;;
